community,species,compound,flux,smetana
comp_0,Solirubrobacter_soli_DSM_22325,man6p,1,0.6666666666666666
comp_0,Lysobacter_dokdonensis_DS_58,man6p,-1,-0.6666666666666666
comp_0,Luteimonas_mephitis_DSM_12574,uri,1,0.04166666666666666
comp_0,Lysobacter_dokdonensis_DS_58,uri,-1,-0.04166666666666666
comp_0,Arthrobacter_enclensis_NIO_1008,thr__L,1,0.375
comp_0,Lysobacter_dokdonensis_DS_58,thr__L,-1,-0.375
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,leu__L,1,0.375
comp_0,Lysobacter_dokdonensis_DS_58,leu__L,-1,-0.375
comp_0,Phenylobacterium_immobile_ATCC_35973_strain_E,val__L,1,0.375
comp_0,Lysobacter_dokdonensis_DS_58,val__L,-1,-0.375
comp_0,Bacillus_circulans_NBRC_13626,leu__L,1,0.75
comp_0,Lysobacter_dokdonensis_DS_58,leu__L,-1,-0.75
comp_0,Bacillus_circulans_NBRC_13626,thr__L,1,0.75
comp_0,Lysobacter_dokdonensis_DS_58,thr__L,-1,-0.75
comp_0,Bacillus_circulans_NBRC_13626,val__L,1,0.75
comp_0,Lysobacter_dokdonensis_DS_58,val__L,-1,-0.75
comp_0,Solirubrobacter_soli_DSM_22325,glyc,1,0.3333333333333333
comp_0,Geobacter_bemidjiensis_Bem,glyc,-1,-0.3333333333333333
comp_0,Solirubrobacter_soli_DSM_22325,nh4,1,0.3333333333333333
comp_0,Geobacter_bemidjiensis_Bem,nh4,-1,-0.3333333333333333
comp_0,Edaphobacter_aggregans_DSM_19364,glyc,1,0.3333333333333333
comp_0,Geobacter_bemidjiensis_Bem,glyc,-1,-0.3333333333333333
comp_0,Edaphobacter_aggregans_DSM_19364,nh4,1,0.3333333333333333
comp_0,Geobacter_bemidjiensis_Bem,nh4,-1,-0.3333333333333333
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,glyc,1,0.3333333333333333
comp_0,Geobacter_bemidjiensis_Bem,glyc,-1,-0.3333333333333333
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,nh4,1,0.3333333333333333
comp_0,Geobacter_bemidjiensis_Bem,nh4,-1,-0.3333333333333333
comp_0,Luteimonas_mephitis_DSM_12574,uri,1,1
comp_0,Edaphobacter_aggregans_DSM_19364,uri,-1,-1
comp_0,Solirubrobacter_soli_DSM_22325,lys__L,1,0.25
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,lys__L,-1,-0.25
comp_0,Solirubrobacter_soli_DSM_22325,orn,1,0.25
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,orn,-1,-0.25
comp_0,Solirubrobacter_soli_DSM_22325,pnto__R,1,0.25
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,pnto__R,-1,-0.25
comp_0,Arthrobacter_enclensis_NIO_1008,lys__L,1,0.25
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,lys__L,-1,-0.25
comp_0,Arthrobacter_enclensis_NIO_1008,orn,1,0.25
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,orn,-1,-0.25
comp_0,Arthrobacter_enclensis_NIO_1008,pnto__R,1,0.25
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,pnto__R,-1,-0.25
comp_0,Edaphobacter_aggregans_DSM_19364,lys__L,1,0.25
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,lys__L,-1,-0.25
comp_0,Edaphobacter_aggregans_DSM_19364,orn,1,0.25
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,orn,-1,-0.25
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,lys__L,1,0.25
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,lys__L,-1,-0.25
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,orn,1,0.25
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,orn,-1,-0.25
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,pnto__R,1,0.25
comp_0,Arenimonas_oryziterrae_DSM_21050_YC6267,pnto__R,-1,-0.25
comp_0,Solirubrobacter_soli_DSM_22325,glyc,1,0.3333333333333333
comp_0,Bacillus_circulans_NBRC_13626,glyc,-1,-0.3333333333333333
comp_0,Solirubrobacter_soli_DSM_22325,nh4,1,0.3333333333333333
comp_0,Bacillus_circulans_NBRC_13626,nh4,-1,-0.3333333333333333
comp_0,Edaphobacter_aggregans_DSM_19364,glyc,1,0.3333333333333333
comp_0,Bacillus_circulans_NBRC_13626,glyc,-1,-0.3333333333333333
comp_0,Edaphobacter_aggregans_DSM_19364,nh4,1,0.3333333333333333
comp_0,Bacillus_circulans_NBRC_13626,nh4,-1,-0.3333333333333333
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,glyc,1,0.3333333333333333
comp_0,Bacillus_circulans_NBRC_13626,glyc,-1,-0.3333333333333333
comp_0,Aquincola_tertiaricarbonis_MIMtkpLc11,nh4,1,0.3333333333333333
comp_0,Bacillus_circulans_NBRC_13626,nh4,-1,-0.3333333333333333
comp_1,Lacunisphaera_limnophila_IG16b,g3pe,1,0.005
comp_1,Devosia_insulae_DS_56,g3pe,-1,-0.005
comp_1,Lacunisphaera_limnophila_IG16b,glu__L,1,0.0025
comp_1,Devosia_insulae_DS_56,glu__L,-1,-0.0025
comp_1,Lacunisphaera_limnophila_IG16b,glyc3p,1,0.08
comp_1,Devosia_insulae_DS_56,glyc3p,-1,-0.08
comp_1,Lacunisphaera_limnophila_IG16b,glyc,1,0.015
comp_1,Devosia_insulae_DS_56,glyc,-1,-0.015
comp_1,Lacunisphaera_limnophila_IG16b,h2s,1,0.005
comp_1,Devosia_insulae_DS_56,h2s,-1,-0.005
comp_1,Lacunisphaera_limnophila_IG16b,pro__L,1,0.0025
comp_1,Devosia_insulae_DS_56,pro__L,-1,-0.0025
comp_1,Sphingomonas_melonis_TY,4abz,1,0.0025
comp_1,Devosia_insulae_DS_56,4abz,-1,-0.0025
comp_1,Sphingomonas_melonis_TY,arg__L,1,0.00125
comp_1,Devosia_insulae_DS_56,arg__L,-1,-0.00125
comp_1,Sphingomonas_melonis_TY,g3pg,1,0.03
comp_1,Devosia_insulae_DS_56,g3pg,-1,-0.03
comp_1,Sphingomonas_melonis_TY,glu__L,1,0.0025
comp_1,Devosia_insulae_DS_56,glu__L,-1,-0.0025
comp_1,Sphingomonas_melonis_TY,glyc,1,0.015
comp_1,Devosia_insulae_DS_56,glyc,-1,-0.015
comp_1,Sphingomonas_melonis_TY,h2s,1,0.005
comp_1,Devosia_insulae_DS_56,h2s,-1,-0.005
comp_1,Sphingomonas_melonis_TY,lys__L,1,0.00125
comp_1,Devosia_insulae_DS_56,lys__L,-1,-0.00125
comp_1,Sphingomonas_melonis_TY,pro__L,1,0.0025
comp_1,Devosia_insulae_DS_56,pro__L,-1,-0.0025
comp_1,Massilia_timonae_NEU,arg__L,1,0.00125
comp_1,Devosia_insulae_DS_56,arg__L,-1,-0.00125
comp_1,Massilia_timonae_NEU,g3pe,1,0.005
comp_1,Devosia_insulae_DS_56,g3pe,-1,-0.005
comp_1,Massilia_timonae_NEU,g3pg,1,0.03
comp_1,Devosia_insulae_DS_56,g3pg,-1,-0.03
comp_1,Massilia_timonae_NEU,glu__L,1,0.0025
comp_1,Devosia_insulae_DS_56,glu__L,-1,-0.0025
comp_1,Massilia_timonae_NEU,glyc3p,1,0.08
comp_1,Devosia_insulae_DS_56,glyc3p,-1,-0.08
comp_1,Massilia_timonae_NEU,glyc,1,0.015
comp_1,Devosia_insulae_DS_56,glyc,-1,-0.015
comp_1,Massilia_timonae_NEU,h2s,1,0.005
comp_1,Devosia_insulae_DS_56,h2s,-1,-0.005
comp_1,Massilia_timonae_NEU,lys__L,1,0.00125
comp_1,Devosia_insulae_DS_56,lys__L,-1,-0.00125
comp_1,Massilia_timonae_NEU,pro__L,1,0.0025
comp_1,Devosia_insulae_DS_56,pro__L,-1,-0.0025
comp_1,Steroidobacter_denitrificans_DSM_18526,h2s,1,0.005
comp_1,Devosia_insulae_DS_56,h2s,-1,-0.005
comp_1,Steroidobacter_denitrificans_DSM_18526,pro__L,1,0.0025
comp_1,Devosia_insulae_DS_56,pro__L,-1,-0.0025
