community,species,metabolites,fluxes,smetana
coop_0,Exiguobacterium_sibiricum_255_15,glyc,-1,-0.2072
coop_0,Rothia_dentocariosa_ATCC_17931,h2s,1,0.08960000000000001
coop_0,Exiguobacterium_sibiricum_255_15,h2s,-1,-0.08960000000000001
coop_0,Rothia_dentocariosa_ATCC_17931,nh4,1,0.0336
coop_0,Exiguobacterium_sibiricum_255_15,nh4,-1,-0.0336
coop_0,Rothia_dentocariosa_ATCC_17931,pro__L,1,0.0028
coop_0,Exiguobacterium_sibiricum_255_15,pro__L,-1,-0.0028
coop_0,Rothia_dentocariosa_ATCC_17931,ser__D,1,0.0028
coop_0,Exiguobacterium_sibiricum_255_15,ser__D,-1,-0.0028
coop_0,Rothia_dentocariosa_ATCC_17931,thr__L,1,0.28
coop_0,Exiguobacterium_sibiricum_255_15,thr__L,-1,-0.28
coop_0,Staphylococcus_saprophyticus_772_SSAP,acald,1,0.0112
coop_0,Exiguobacterium_sibiricum_255_15,acald,-1,-0.0112
coop_0,Staphylococcus_saprophyticus_772_SSAP,ala__D,1,0.0084
coop_0,Exiguobacterium_sibiricum_255_15,ala__D,-1,-0.0084
coop_0,Staphylococcus_saprophyticus_772_SSAP,ala__L,1,0.0308
coop_0,Exiguobacterium_sibiricum_255_15,ala__L,-1,-0.0308
coop_0,Staphylococcus_saprophyticus_772_SSAP,glu__L,1,0.0532
coop_0,Exiguobacterium_sibiricum_255_15,glu__L,-1,-0.0532
coop_0,Staphylococcus_saprophyticus_772_SSAP,gly,1,0.0112
coop_0,Exiguobacterium_sibiricum_255_15,gly,-1,-0.0112
coop_0,Staphylococcus_saprophyticus_772_SSAP,glyc,1,0.2072
coop_0,Exiguobacterium_sibiricum_255_15,glyc,-1,-0.2072
coop_0,Staphylococcus_saprophyticus_772_SSAP,glyclt,1,0.0056
coop_0,Exiguobacterium_sibiricum_255_15,glyclt,-1,-0.0056
coop_0,Staphylococcus_saprophyticus_772_SSAP,h2s,1,0.08960000000000001
coop_0,Exiguobacterium_sibiricum_255_15,h2s,-1,-0.08960000000000001
coop_0,Staphylococcus_saprophyticus_772_SSAP,leu__L,1,0.28
coop_0,Exiguobacterium_sibiricum_255_15,leu__L,-1,-0.28
coop_0,Staphylococcus_saprophyticus_772_SSAP,nh4,1,0.0336
coop_0,Exiguobacterium_sibiricum_255_15,nh4,-1,-0.0336
coop_0,Staphylococcus_saprophyticus_772_SSAP,pro__L,1,0.0028
coop_0,Exiguobacterium_sibiricum_255_15,pro__L,-1,-0.0028
coop_0,Staphylococcus_saprophyticus_772_SSAP,ser__D,1,0.0028
coop_0,Exiguobacterium_sibiricum_255_15,ser__D,-1,-0.0028
coop_0,Staphylococcus_saprophyticus_772_SSAP,thr__L,1,0.28
coop_0,Exiguobacterium_sibiricum_255_15,thr__L,-1,-0.28
coop_0,Neisseria_mucosa_C102,acald,1,0.04
coop_0,Exiguobacterium_sibiricum_255_15,acald,-1,-0.04
coop_0,Neisseria_mucosa_C102,ala__D,1,0.03
coop_0,Exiguobacterium_sibiricum_255_15,ala__D,-1,-0.03
coop_0,Neisseria_mucosa_C102,ala__L,1,0.11
coop_0,Exiguobacterium_sibiricum_255_15,ala__L,-1,-0.11
coop_0,Neisseria_mucosa_C102,etoh,1,0.05
coop_0,Exiguobacterium_sibiricum_255_15,etoh,-1,-0.05
coop_0,Neisseria_mucosa_C102,glu__L,1,0.19
coop_0,Exiguobacterium_sibiricum_255_15,glu__L,-1,-0.19
coop_0,Neisseria_mucosa_C102,gly,1,0.04
coop_0,Exiguobacterium_sibiricum_255_15,gly,-1,-0.04
coop_0,Neisseria_mucosa_C102,glyc,1,0.74
coop_0,Exiguobacterium_sibiricum_255_15,glyc,-1,-0.74
coop_0,Neisseria_mucosa_C102,h2s,1,0.32
coop_0,Exiguobacterium_sibiricum_255_15,h2s,-1,-0.32
coop_0,Neisseria_mucosa_C102,leu__L,1,1
coop_0,Exiguobacterium_sibiricum_255_15,leu__L,-1,-1
coop_0,Neisseria_mucosa_C102,nh4,1,0.12
coop_0,Exiguobacterium_sibiricum_255_15,nh4,-1,-0.12
coop_0,Neisseria_mucosa_C102,ser__D,1,0.01
coop_0,Exiguobacterium_sibiricum_255_15,ser__D,-1,-0.01
coop_0,Megasphaera_cerevisiae_DSM_20462,acald,1,0.0064
coop_0,Exiguobacterium_sibiricum_255_15,acald,-1,-0.0064
coop_0,Megasphaera_cerevisiae_DSM_20462,ala__D,1,0.0048
coop_0,Exiguobacterium_sibiricum_255_15,ala__D,-1,-0.0048
coop_0,Megasphaera_cerevisiae_DSM_20462,glu__L,1,0.0304
coop_0,Exiguobacterium_sibiricum_255_15,glu__L,-1,-0.0304
coop_0,Megasphaera_cerevisiae_DSM_20462,gly,1,0.0064
coop_0,Exiguobacterium_sibiricum_255_15,gly,-1,-0.0064
coop_0,Megasphaera_cerevisiae_DSM_20462,glyc,1,0.1184
coop_0,Exiguobacterium_sibiricum_255_15,glyc,-1,-0.1184
coop_0,Megasphaera_cerevisiae_DSM_20462,glyclt,1,0.0032
coop_0,Exiguobacterium_sibiricum_255_15,glyclt,-1,-0.0032
coop_0,Megasphaera_cerevisiae_DSM_20462,h2s,1,0.0512
coop_0,Exiguobacterium_sibiricum_255_15,h2s,-1,-0.0512
coop_0,Megasphaera_cerevisiae_DSM_20462,leu__L,1,0.16
coop_0,Exiguobacterium_sibiricum_255_15,leu__L,-1,-0.16
coop_0,Megasphaera_cerevisiae_DSM_20462,nh4,1,0.0192
coop_0,Exiguobacterium_sibiricum_255_15,nh4,-1,-0.0192
coop_0,Megasphaera_cerevisiae_DSM_20462,orn,1,0.0112
coop_0,Exiguobacterium_sibiricum_255_15,orn,-1,-0.0112
coop_0,Megasphaera_cerevisiae_DSM_20462,pro__L,1,0.0016
coop_0,Exiguobacterium_sibiricum_255_15,pro__L,-1,-0.0016
coop_0,Neisseria_mucosa_C102,rnam,1,1
coop_0,Rothia_nasimurium_PT_32,rnam,-1,-1
coop_0,Exiguobacterium_sibiricum_255_15,arg__L,1,0.2777777777777778
coop_0,Prevotella_scopos_JCM_17725_W2052,arg__L,-1,-0.2777777777777778
coop_0,Exiguobacterium_sibiricum_255_15,his__L,1,0.2777777777777778
coop_0,Prevotella_scopos_JCM_17725_W2052,his__L,-1,-0.2777777777777778
coop_0,Exiguobacterium_sibiricum_255_15,ile__L,1,0.2777777777777778
coop_0,Prevotella_scopos_JCM_17725_W2052,ile__L,-1,-0.2777777777777778
coop_0,Rothia_nasimurium_PT_32,arg__L,1,0.2222222222222222
coop_0,Prevotella_scopos_JCM_17725_W2052,arg__L,-1,-0.2222222222222222
coop_0,Rothia_nasimurium_PT_32,his__L,1,0.2222222222222222
coop_0,Prevotella_scopos_JCM_17725_W2052,his__L,-1,-0.2222222222222222
coop_0,Rothia_nasimurium_PT_32,ile__L,1,0.2222222222222222
coop_0,Prevotella_scopos_JCM_17725_W2052,ile__L,-1,-0.2222222222222222
coop_0,Rothia_nasimurium_PT_32,leu__L,1,0.2222222222222222
coop_0,Prevotella_scopos_JCM_17725_W2052,leu__L,-1,-0.2222222222222222
coop_0,Rothia_nasimurium_PT_32,thr__L,1,0.2222222222222222
coop_0,Prevotella_scopos_JCM_17725_W2052,thr__L,-1,-0.2222222222222222
coop_0,Corynebacterium_simulans_PES1,arg__L,1,1
coop_0,Prevotella_scopos_JCM_17725_W2052,arg__L,-1,-1
coop_0,Corynebacterium_simulans_PES1,ile__L,1,1
coop_0,Prevotella_scopos_JCM_17725_W2052,ile__L,-1,-1
coop_0,Corynebacterium_simulans_PES1,leu__L,1,1
coop_0,Prevotella_scopos_JCM_17725_W2052,leu__L,-1,-1
coop_0,Corynebacterium_simulans_PES1,pac,1,1
coop_0,Prevotella_scopos_JCM_17725_W2052,pac,-1,-1
coop_0,Corynebacterium_simulans_PES1,thr__L,1,1
coop_0,Prevotella_scopos_JCM_17725_W2052,thr__L,-1,-1
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,arg__L,1,0.3888888888888889
coop_0,Prevotella_scopos_JCM_17725_W2052,arg__L,-1,-0.3888888888888889
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,his__L,1,0.3888888888888889
coop_0,Prevotella_scopos_JCM_17725_W2052,his__L,-1,-0.3888888888888889
coop_0,Moraxella_osloensis_CCUG_350,arg__L,1,0.3888888888888889
coop_0,Prevotella_scopos_JCM_17725_W2052,arg__L,-1,-0.3888888888888889
coop_0,Moraxella_osloensis_CCUG_350,his__L,1,0.3888888888888889
coop_0,Prevotella_scopos_JCM_17725_W2052,his__L,-1,-0.3888888888888889
coop_0,Rothia_dentocariosa_ATCC_17931,thr__L,1,0.1111111111111111
coop_0,Prevotella_scopos_JCM_17725_W2052,thr__L,-1,-0.1111111111111111
coop_0,Staphylococcus_saprophyticus_772_SSAP,his__L,1,0.2777777777777778
coop_0,Prevotella_scopos_JCM_17725_W2052,his__L,-1,-0.2777777777777778
coop_0,Staphylococcus_saprophyticus_772_SSAP,ile__L,1,0.2777777777777778
coop_0,Prevotella_scopos_JCM_17725_W2052,ile__L,-1,-0.2777777777777778
coop_0,Staphylococcus_saprophyticus_772_SSAP,leu__L,1,0.2777777777777778
coop_0,Prevotella_scopos_JCM_17725_W2052,leu__L,-1,-0.2777777777777778
coop_0,Staphylococcus_saprophyticus_772_SSAP,thr__L,1,0.2777777777777778
coop_0,Prevotella_scopos_JCM_17725_W2052,thr__L,-1,-0.2777777777777778
coop_0,Neisseria_mucosa_C102,ile__L,1,1
coop_0,Prevotella_scopos_JCM_17725_W2052,ile__L,-1,-1
coop_0,Neisseria_mucosa_C102,leu__L,1,1
coop_0,Prevotella_scopos_JCM_17725_W2052,leu__L,-1,-1
coop_0,Megasphaera_cerevisiae_DSM_20462,ile__L,1,0.1111111111111111
coop_0,Prevotella_scopos_JCM_17725_W2052,ile__L,-1,-0.1111111111111111
coop_0,Megasphaera_cerevisiae_DSM_20462,leu__L,1,0.1111111111111111
coop_0,Prevotella_scopos_JCM_17725_W2052,leu__L,-1,-0.1111111111111111
coop_0,Exiguobacterium_sibiricum_255_15,lac__L,1,0.2
coop_0,Corynebacterium_simulans_PES1,lac__L,-1,-0.2
coop_0,Rothia_nasimurium_PT_32,lac__L,1,0.2
coop_0,Corynebacterium_simulans_PES1,lac__L,-1,-0.2
coop_0,Rothia_nasimurium_PT_32,xtsn,1,0.2
coop_0,Corynebacterium_simulans_PES1,xtsn,-1,-0.2
coop_0,Prevotella_scopos_JCM_17725_W2052,ura,1,1
coop_0,Corynebacterium_simulans_PES1,ura,-1,-1
coop_0,Prevotella_scopos_JCM_17725_W2052,xtsn,1,1
coop_0,Corynebacterium_simulans_PES1,xtsn,-1,-1
coop_0,Neisseria_mucosa_C102,lac__L,1,1
coop_0,Corynebacterium_simulans_PES1,lac__L,-1,-1
coop_0,Neisseria_mucosa_C102,xtsn,1,1
coop_0,Corynebacterium_simulans_PES1,xtsn,-1,-1
coop_0,Neisseria_mucosa_C102,ala__D,1,0.25
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,ala__D,-1,-0.25
coop_0,Neisseria_mucosa_C102,ala__L,1,0.25
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,ala__L,-1,-0.25
coop_0,Neisseria_mucosa_C102,glyc,1,0.25
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,glyc,-1,-0.25
coop_0,Neisseria_mucosa_C102,nh4,1,0.25
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,nh4,-1,-0.25
coop_0,Exiguobacterium_sibiricum_255_15,arg__L,1,0.125
coop_0,Rothia_dentocariosa_ATCC_17931,arg__L,-1,-0.125
coop_0,Exiguobacterium_sibiricum_255_15,gly,1,0.10416666666666669
coop_0,Rothia_dentocariosa_ATCC_17931,gly,-1,-0.10416666666666669
coop_0,Exiguobacterium_sibiricum_255_15,glyc,1,0.02083333333333333
coop_0,Rothia_dentocariosa_ATCC_17931,glyc,-1,-0.02083333333333333
coop_0,Exiguobacterium_sibiricum_255_15,his__L,1,0.125
coop_0,Rothia_dentocariosa_ATCC_17931,his__L,-1,-0.125
coop_0,Exiguobacterium_sibiricum_255_15,orn,1,0.02083333333333333
coop_0,Rothia_dentocariosa_ATCC_17931,orn,-1,-0.02083333333333333
coop_0,Exiguobacterium_sibiricum_255_15,pro__L,1,0.10416666666666669
coop_0,Rothia_dentocariosa_ATCC_17931,pro__L,-1,-0.10416666666666669
coop_0,Rothia_nasimurium_PT_32,akg,1,0.03125
coop_0,Rothia_dentocariosa_ATCC_17931,akg,-1,-0.03125
coop_0,Rothia_nasimurium_PT_32,arg__L,1,0.1875
coop_0,Rothia_dentocariosa_ATCC_17931,arg__L,-1,-0.1875
coop_0,Rothia_nasimurium_PT_32,gly,1,0.15625
coop_0,Rothia_dentocariosa_ATCC_17931,gly,-1,-0.15625
coop_0,Rothia_nasimurium_PT_32,glyald,1,0.0625
coop_0,Rothia_dentocariosa_ATCC_17931,glyald,-1,-0.0625
coop_0,Rothia_nasimurium_PT_32,glyc,1,0.03125
coop_0,Rothia_dentocariosa_ATCC_17931,glyc,-1,-0.03125
coop_0,Rothia_nasimurium_PT_32,his__L,1,0.1875
coop_0,Rothia_dentocariosa_ATCC_17931,his__L,-1,-0.1875
coop_0,Rothia_nasimurium_PT_32,orn,1,0.03125
coop_0,Rothia_dentocariosa_ATCC_17931,orn,-1,-0.03125
coop_0,Rothia_nasimurium_PT_32,pro__L,1,0.15625
coop_0,Rothia_dentocariosa_ATCC_17931,pro__L,-1,-0.15625
coop_0,Prevotella_scopos_JCM_17725_W2052,gly,1,0.10416666666666669
coop_0,Rothia_dentocariosa_ATCC_17931,gly,-1,-0.10416666666666669
coop_0,Prevotella_scopos_JCM_17725_W2052,glyc,1,0.02083333333333333
coop_0,Rothia_dentocariosa_ATCC_17931,glyc,-1,-0.02083333333333333
coop_0,Corynebacterium_simulans_PES1,arg__L,1,0.125
coop_0,Rothia_dentocariosa_ATCC_17931,arg__L,-1,-0.125
coop_0,Corynebacterium_simulans_PES1,glyc,1,0.02083333333333333
coop_0,Rothia_dentocariosa_ATCC_17931,glyc,-1,-0.02083333333333333
coop_0,Corynebacterium_simulans_PES1,man1p,1,0.02083333333333333
coop_0,Rothia_dentocariosa_ATCC_17931,man1p,-1,-0.02083333333333333
coop_0,Corynebacterium_simulans_PES1,man6p,1,0.02083333333333333
coop_0,Rothia_dentocariosa_ATCC_17931,man6p,-1,-0.02083333333333333
coop_0,Corynebacterium_simulans_PES1,orn,1,0.02083333333333333
coop_0,Rothia_dentocariosa_ATCC_17931,orn,-1,-0.02083333333333333
coop_0,Corynebacterium_simulans_PES1,pro__L,1,0.10416666666666669
coop_0,Rothia_dentocariosa_ATCC_17931,pro__L,-1,-0.10416666666666669
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,arg__L,1,0.5
coop_0,Rothia_dentocariosa_ATCC_17931,arg__L,-1,-0.5
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,glyc,1,0.08333333333333333
coop_0,Rothia_dentocariosa_ATCC_17931,glyc,-1,-0.08333333333333333
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,his__L,1,0.5
coop_0,Rothia_dentocariosa_ATCC_17931,his__L,-1,-0.5
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,orn,1,0.08333333333333333
coop_0,Rothia_dentocariosa_ATCC_17931,orn,-1,-0.08333333333333333
coop_0,Massilia_yuzhufengensis_CGMCC_1_12041,pro__L,1,0.4166666666666667
coop_0,Rothia_dentocariosa_ATCC_17931,pro__L,-1,-0.4166666666666667
coop_0,Moraxella_osloensis_CCUG_350,arg__L,1,0.5
coop_0,Rothia_dentocariosa_ATCC_17931,arg__L,-1,-0.5
coop_0,Moraxella_osloensis_CCUG_350,glyc,1,0.08333333333333333
coop_0,Rothia_dentocariosa_ATCC_17931,glyc,-1,-0.08333333333333333
coop_0,Moraxella_osloensis_CCUG_350,his__L,1,0.5
coop_0,Rothia_dentocariosa_ATCC_17931,his__L,-1,-0.5
coop_0,Moraxella_osloensis_CCUG_350,orn,1,0.08333333333333333
coop_0,Rothia_dentocariosa_ATCC_17931,orn,-1,-0.08333333333333333
coop_0,Staphylococcus_saprophyticus_772_SSAP,akg,1,0.02083333333333333
coop_0,Rothia_dentocariosa_ATCC_17931,akg,-1,-0.02083333333333333
coop_0,Staphylococcus_saprophyticus_772_SSAP,gly,1,0.10416666666666669
coop_0,Rothia_dentocariosa_ATCC_17931,gly,-1,-0.10416666666666669
coop_0,Staphylococcus_saprophyticus_772_SSAP,glyald,1,0.04166666666666666
coop_0,Rothia_dentocariosa_ATCC_17931,glyald,-1,-0.04166666666666666
coop_0,Staphylococcus_saprophyticus_772_SSAP,glyc,1,0.02083333333333333
coop_0,Rothia_dentocariosa_ATCC_17931,glyc,-1,-0.02083333333333333
coop_0,Staphylococcus_saprophyticus_772_SSAP,his__L,1,0.125
coop_0,Rothia_dentocariosa_ATCC_17931,his__L,-1,-0.125
coop_0,Staphylococcus_saprophyticus_772_SSAP,pro__L,1,0.10416666666666669
coop_0,Rothia_dentocariosa_ATCC_17931,pro__L,-1,-0.10416666666666669
coop_0,Neisseria_mucosa_C102,akg,1,0.16666666666666666
coop_0,Rothia_dentocariosa_ATCC_17931,akg,-1,-0.16666666666666666
coop_0,Neisseria_mucosa_C102,gly,1,0.8333333333333334
coop_0,Rothia_dentocariosa_ATCC_17931,gly,-1,-0.8333333333333334
coop_0,Neisseria_mucosa_C102,glyc,1,0.16666666666666666
coop_0,Rothia_dentocariosa_ATCC_17931,glyc,-1,-0.16666666666666666
coop_0,Megasphaera_cerevisiae_DSM_20462,gly,1,0.10416666666666669
coop_0,Rothia_dentocariosa_ATCC_17931,gly,-1,-0.10416666666666669
coop_0,Megasphaera_cerevisiae_DSM_20462,glyald,1,0.04166666666666666
coop_0,Rothia_dentocariosa_ATCC_17931,glyald,-1,-0.04166666666666666
coop_0,Megasphaera_cerevisiae_DSM_20462,glyc,1,0.02083333333333333
coop_0,Rothia_dentocariosa_ATCC_17931,glyc,-1,-0.02083333333333333
coop_0,Megasphaera_cerevisiae_DSM_20462,orn,1,0.02083333333333333
coop_0,Rothia_dentocariosa_ATCC_17931,orn,-1,-0.02083333333333333
coop_0,Megasphaera_cerevisiae_DSM_20462,pro__L,1,0.10416666666666669
coop_0,Rothia_dentocariosa_ATCC_17931,pro__L,-1,-0.10416666666666669
coop_0,Exiguobacterium_sibiricum_255_15,gly,1,0.08333333333333333
coop_0,Staphylococcus_saprophyticus_772_SSAP,gly,-1,-0.08333333333333333
coop_0,Exiguobacterium_sibiricum_255_15,nh4,1,0.08333333333333333
coop_0,Staphylococcus_saprophyticus_772_SSAP,nh4,-1,-0.08333333333333333
coop_0,Rothia_nasimurium_PT_32,gly,1,0.08333333333333333
coop_0,Staphylococcus_saprophyticus_772_SSAP,gly,-1,-0.08333333333333333
coop_0,Rothia_nasimurium_PT_32,glyald,1,0.08333333333333333
coop_0,Staphylococcus_saprophyticus_772_SSAP,glyald,-1,-0.08333333333333333
coop_0,Rothia_nasimurium_PT_32,nh4,1,0.08333333333333333
coop_0,Staphylococcus_saprophyticus_772_SSAP,nh4,-1,-0.08333333333333333
coop_0,Prevotella_scopos_JCM_17725_W2052,gly,1,0.5
coop_0,Staphylococcus_saprophyticus_772_SSAP,gly,-1,-0.5
coop_0,Prevotella_scopos_JCM_17725_W2052,nh4,1,0.5
coop_0,Staphylococcus_saprophyticus_772_SSAP,nh4,-1,-0.5
coop_0,Prevotella_scopos_JCM_17725_W2052,ura,1,1
